指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000987,全指材料,中证全指原材料指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的原材料行业的股票作为样本股。
sh.000989,全指可选,中证全指可选消费指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的可选消费的股票作为样本股。
sh.000990,全指消费,中证全指主要消费指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的主要消费行业的股票作为样本股。
sh.000991,全指医药,中证全指医药卫生指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的医药卫生行业的股票作为样本股。
sh.000992,全指金融,中证全指金融地产指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的金融地产行业的股票作为样本股。
sh.000993,全指信息,中证全指信息技术指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的信息技术行业的股票作为样本股。
sz.399381,1000能源,国证1000能源,2011/2/28,深圳证券交易所,将样本空间股票中分属能源行业的全部股票组成份股，反映中国A股市场能源行业公司股票的整体表现。
sz.399382,1000材料,国证1000材料,2011/12/2,深圳证券交易所,将样本空间股票分属材料行业的全部股票组成份股，反映中国A股市场原材料行业公司股票的整体表现。
sz.399383,1000工业,国证1000工业,2011/12/2,深圳证券交易所,将样本空间股票分属工业行业的全部股票组成份股，反映中国A股市场工业行业公司股票的整体表现。
sz.399384,1000可选,国证1000可选,2011/12/2,深圳证券交易所,将样本空间股票分属可选消费行业的全部股票组成份股，反映中国A股市场可选消费行业公司股票的整体表现。
sz.399385,1000消费,国证1000消费,2011/12/2,深圳证券交易所,将样本空间股票分属主要消费行业的全部股票组成份股，反映中国A股市场主要消费行业公司股票的整体表现。
sz.399386,1000医药,国证1000医药,2011/12/2,深圳证券交易所,将样本空间股票分属医药卫生行业的全部股票组成份股，反映中国A股市场医药卫生行业公司股票的整体表现。
sz.399387,1000金融,国证1000金融,2011/12/2,深圳证券交易所,将样本空间股票分属金融地产行业的全部股票组成份股，反映中国A股市场金融地产行业公司股票的整体表现。
sz.399388,1000信息,国证1000信息,2011/12/2,深圳证券交易所,将样本空间股票分属信息技术行业的全部股票组成份股，反映中国A股市场信息技术行业公司股票的整体表现。
sz.399389,国证通信,国证通信指数,2011/12/2,深圳证券交易所,将样本空间股票分属电信业务行业的全部股票组成份股，反映中国A股市场电信业务行业公司股票的整体表现。
sz.399390,1000公用,国证1000公用,2011/12/2,深圳证券交易所,将样本空间股票分属公用事业行业的全部股票组成份股，反映中国A股市场公用事业行业公司股票的整体表现。
sz.399431,国证银行,国证银行行业,2014/12/30,深圳证券交易所,
sz.399432,国证汽车,国证汽车汽配,2014/12/30,深圳证券交易所,
sz.399433,国证交运,国证交通运输,2014/12/30,深圳证券交易所,
sz.399434,国证传媒,国证传媒行业,2014/12/30,深圳证券交易所,
sz.399435,国证农牧,国证农牧渔,2014/12/30,深圳证券交易所,
sz.399436,国证煤炭,国证煤炭行业,2014/12/30,深圳证券交易所,
sz.399437,国证证券,国证证券行业指数,2014/12/30,深圳证券交易所,
sz.399438,国证电力,国证电力事业,2014/12/30,深圳证券交易所,
sz.399439,国证油气,国证石油气,2014/12/30,深圳证券交易所,
sz.399440,国证钢铁,国证钢铁行业,2014/12/30,深圳证券交易所,
sz.399613,深证能源,深证能源行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399614,深证材料,深证原材料行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399615,深证工业,深证工业行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399616,深证可选,深证可选消费行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标
sz.399617,深证消费,深证主要消费行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399618,深证医药,深证医药卫生行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399619,深证金融,深证金融地产行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399620,深证信息,深证信息技术行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399621,深证电信,深证电信业务行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399622,深证公用,深证公用事业行业指数,2011/6/15,深圳证券交易所,为反映深市不同行业公司股票的整体表现，将深市个股按国证行业分类标准分为10个行业，以覆盖所属行业75%的市值为目标。
sz.399674,深A医药,深A医药卫生,2015/6/8,深圳证券交易所,
sz.399675,深互联网,深A软件互联,2015/6/8,深圳证券交易所,
sz.399908,300 能源,沪深300能源指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于能源行业的全部股票构成指数成份股。
sz.399909,300 材料,沪深300原材料指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于原材料行业的全部股票构成指数成份股。
sz.399910,300 工业,沪深300工业指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于工业行业的全部股票构成指数成份股。
sz.399911,300 可选,沪深300可选消费指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于可选消费行业的全部股票构成指数成份股。
sz.399912,300 消费,沪深300主要消费指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于主要消费行业的全部股票构成指数成份股。
sz.399913,300 医药,沪深300医药卫生指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于医药卫生行业的全部股票构成指数成份股。
sz.399914,300 金融,沪深300金融地产指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于金融地产行业的全部股票构成指数成份股。
sz.399915,300 信息,沪深300信息技术指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于信息技术行业的全部股票构成指数成份股。
sz.399916,300 电信,沪深300电信业务指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于电信行业的全部股票构成指数成份股。
sz.399917,300 公用,沪深300公用事业指数,2007/7/2,中证指数有限公司,将沪深300指数成份股按行业分类标准进行分类，选取归属于公用事业行业的全部股票构成指数成份股。
sz.399928,中证能源,中证能源指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于能源行业的全部股票作为样本。
sz.399929,中证材料,中证原材料指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于原材料行业的全部股票作为样本。
sz.399930,中证工业,中证工业指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于工业行业的全部股票作为样本。
sz.399931,中证可选,中证可选消费指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于可选消费行业的全部股票作为样本。
sz.399932,中证消费,中证主要消费指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于主要消费行业的全部股票作为样本。
sz.399933,中证医药,中证医药卫生指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于医药卫生行业的全部股票作为样本。
sz.399934,中证金融,中证金融地产指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于金融地产行业的全部股票作为样本。
sz.399935,中证信息,中证信息技术指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于信息技术行业的全部股票作为样本。
sz.399936,中证电信,中证电信业务指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于电信行业的全部股票作为样本。
sz.399937,中证医药,中证公用事业指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股按行业分类标准分为10个行业，选取归属于医药卫生行业的全部股票作为样本。
sz.399995,基建工程,中证基建工程指数,2015/3/12,中证指数有限公司,在中证全指样本空间内，剔除流动性排名后20%的股票，将建筑与工程主题股票按照过去一年日均总市值进行排序，选取排名前50的股票作为指数样本。
