指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000126,消费50,上证消费50指数,2011/12/9,上海证券交易所,在上证全指样本空间中，选择过去一年A股日均总市值与日均成交金额综合排名前50的可选消费和主要消费公司股票作为样本股。
sh.000131,上证高新,上证高新技术企业指数,2012/2/10,上海证券交易所,从沪市所有高新技术企业中选取近三年研发费用占营业收入比率最高的50家上市公司构成指数样本股，以反映沪市A股高新技术企业的整体走势。
sh.000132,上证100,上证100指数,2012/4/20,上海证券交易所,从上证380指数中选择营业收入增长率和净资产收益率综合排名靠前的100只股票作为指数样本，以突出反映新兴蓝筹类股票的成长特征。
sh.000133,上证150,上证150指数,2012/4/20,上海证券交易所,在上证180、上证 380指数成份股之外选择营业收入增长率、换手率综合排名前150名的股票作为指数样本，以集中反映潜力蓝筹板块内股票交易活跃、发展速度快的特征。
sh.000134,上证银行,上证银行股指数,2012/5/29,上海证券交易所,以上证全指中所有银行股作为样本股，采用自由流通调整市值加权，并对个股设置了15%的权重上限
sh.000141,380动态,上证380动态指数,2013/2/8,上海证券交易所,在上证380指数样本内，根据波动率因子和质量因子计算敏感性评分，选取对宏观环境和经济周期变动具有较高风险敞口的190只股票作为样本股。
sh.000142,380稳定,上证380稳定指数,2013/2/8,上海证券交易所,在上证380指数样本内，根据波动率因子和质量因子计算敏感性评分，选取对宏观环境和经济周期变动具有较低风险敞口的190只股票作为样本股。
sh.000145,优势资源,上证优势资源产业指数,2012/5/29,上海证券交易所,从上证全指样本股中选择过去一年A股日均总市值与日均成交金额综合排名前50的优势资源主题公司股票作为样本股，主要反映资源产业中具有相对优势的部分行业上市公司的整体表现
sh.000146,优势制造,上证优势制造产业指数,2012/5/29,上海证券交易所,从上证全指样本股中选择过去一年A股日均总市值与日均成交金额综合排名前50的优势制造主题公司股票作为样本股，主要反映制造产业中具有相对优势的部分行业上市公司的整体表现。
sh.000147,优势消费,上证优势消费产业指数,2012/5/29,上海证券交易所,从上证全指样本股中选择过去一年A股日均总市值与日均成交金额综合排名前50的优势消费主体公司股票作为样本股，主要反映消费产业中具有相对优势的部分行业上市公司的整体表现
sh.000148,消费领先,上证消费服务领先指数,2012/5/29,上海证券交易所,从上证全指样本股中选择消费服务领先主题的公司股票作为样本股，并对行业和个股分别设置了20%和5%的权重限制。
sh.000149,180红利,上证180红利指数,2012/7/20,上海证券交易所,在上证180指数中选择股息率最高的30只股票作为指数样本，以反映经典蓝筹板块中高股息率股票的整体表现。
sh.000150,380红利,上证380红利指数,2012/7/20,上海证券交易所,在上证380指数中选择股息率最高的30只股票作为指数样本，以反映新兴蓝筹板块中高股息率股票的整体表现。
sh.000151,上国红利,上证国有企业红利指数,2012/7/20,上海证券交易所,挑选在上交所上市的国有企业中现金股息率高、分红比较稳定、且有一定规模及流动性的30只股票作为样本，以反映国有企业群体中高红利股票的整体状况。
sh.000152,上央红利,上证中央企业红利指数,2012/7/20,上海证券交易所,数挑选在上交所上市的中央企业中现金股息率高、分红比较稳定、且有一定规模及流动性的30只股票作为样本，以反映中央企业群体中高红利股票的整体状况。
sh.000153,上民红利,上证民营企业红利指数,2012/7/20,上海证券交易所,挑选在上交所上市的民营企业中现金股息率高、分红比较稳定、且有一定规模及流动性的30只股票作为样本，以反映民营企业群体中高红利股票的整体状况。
sh.000158,上证环保,上证环保产业指数,2012/9/25,上海证券交易所,将符合资源管理、清洁技术和产品、污染管理的公司纳入环保产业主题，采用等权重加权方式，反映上海市场环保产业公司的总体表现
sh.000159,沪股通,上证沪股通指数,2014/11/17,上海证券交易所,以沪市全部 A 股（非 ST ， *ST 股）为样本空间，选择符合沪股通范围的股票作为指数样本，反映沪港通范围内上海市场股票的整体表现。
sh.000160,沪新丝路,上证一带一路主题指数,2015/6/24,上海证券交易所,在综合考虑过去一年日均总市值、现有海外业务占比、新签一带一路地区订单、主营业务所在地域等四个维度的基础上，从基础建设、交通运输、高端装备、电力通信、资源开发等五大产业中选取最具主题代表性的股票组成指数样本股，以反映一带一路主题在沪市A股的整体走势。
sh.000161,沪中国造,上证中国制造2025主题指数,2015/10/29,上海证券交易所,从新一代信息技术、高档数控机床和机器人、航空航天装备、海洋工程装备及高技术船舶、先进轨道交通装备、节能与新能源汽车、电力装备、新材料、生物医药及高性能医疗器械、农业机械装备中选取代表性公司，在每个领域内选取过去一年日均总市值和日均成交金额综合排名前20的股票组成样本股。
sh.000162,沪互联+,上证互联网+主题指数,2015/10/29,上海证券交易所,以互联网教育、互联网金融、互联网旅游、互联网农业、互联网医疗、互联网制造等，以及其他互联网渗透率较高的行业作为互联网+主题空间，在每个类别中选择过去一年日均总市值和日均成交金额综合排名前20股票作为样本股。
sh.000802,500沪市,中证500沪市指数,2011/11/8,中证指数有限公司,以中证500指数样本股为样本空间，选择在上交所上市交易的股票构成样本股。
sh.000805,A股资源,中证A股资源产业指数,2012/1/6,中证指数有限公司,以中证全指为样本空间，由能源，多种金属与采矿、贵重金属与矿石、黄金、铝行业中总市值排名前50的股票构成样本股，并采用二级行业内等权的加权方式。
sh.000806,消费服务,消费服务,2012/2/10,中证指数有限公司,以中证全指为样本空间，由食品饮料业、服装及其他纤维制品制造业、文教体育用品制造业、医药生物制品业等行业中总市值排名前100的股票构成样本股，并且设置了20%的行业权重上限和5%的个股权重上限。
sh.000807,食品饮料,中证申万食品饮料指数,2012/2/17,中证指数有限公司,反映A股市场中食品饮料行业上市公司的整体表现。
sh.000808,医药生物,中证申万医药生物指数,2012/2/17,中证指数有限公司,反映A股市场中医药生物行业上市公司的整体表现。
sh.000814,细分医药,中证细分医药产业主题指数,2012/4/11,中证指数有限公司,选择制药细分行业中规模较大和流动性较好的50只股票组成样本股，反映A股市场中相关细分医药产业上市公司的整体表现。
sh.000816,细分地产,中证细分房地产产业主题指数,2012/4/11,中证指数有限公司,选择房地产细分行业中规模较大和流动性较好的50只股票组成样本股，反映A股市场中相关细分房地产产业上市公司的整体表现。
sh.000817,兴证海峡,中证兴证海西主题指数,2011/9/27,中证指数有限公司,以沪深两市全部A股为样本空间，采用派许加权方法，按照样本股的调整股本数为权数加权计算。
sh.000819,有色金属,中证申万有色金属指数,2012/5/9,中证指数有限公司,采用派许加权综合价格指数公式进行计算，对单个样本股设10%权重限制。
sh.000821,300红利,沪深300红利指数,2012/7/20,中证指数有限公司,
sh.000823,800有色,中证800有色金属指数,2012/12/21,中证指数有限公司,以中证800指数成份股为样本空间，选择铝、多种金属与采矿等行业的股票作为样本。
sh.000827,中证环保,中证环保产业指数,2012/9/25,中证指数有限公司,
sh.000846,ESG 100,中证财通中国可持续发展100(ECPI ESG)指数,2012/10/16,中证指数有限公司,以沪深300指数样本股为样本空间，根据ECPI ESG评级方法，从中挑选ESG评级较高的100只公司股票组成样本股。
sh.000849,300非银,沪深300非银行金融指数,2012/12/21,中证指数有限公司,以沪深300指数成份股为样本空间，选择综合金融、保险行业的股票作为样本。
sh.000850,300有色,沪深300有色金属指数,2012/12/2,中证指数有限公司,以沪深300指数成份股为样本空间，选择铝、多种金属与采矿等行业的股票作为样本。
sh.000855,央视500,央视财经500指数,2014/11/3,中证指数有限公司,根据样本空间中各大类股票数量分配对应大类样本数量；剔除样本空间中过去一年日均成交金额排名后 20%的股票；在每个大类中，选择总市值排名靠前的合计 500 只上市公司股票为样本。
sh.000901,小康指数,中证南方小康产业指数,2010/4/1,中证指数有限公司,截止日总市值最大的20只股票后剩下的股票作为样本空间，选取综合财务指标降序排名前100位的股票作为样本股
sh.000922,中证红利,中证红利指数,2008/5/26,中证指数有限公司,挑选在上交所和深交所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的100只股票作为样本，以反映A股市场高红利股票的整体状况和走势。
sh.000939,民企200,中证民营企业200指数,2009/8/25,中证指数有限公司,挑选沪深两市最具代表性的200家民营上市公司股票为样本，刻画了沪深两市大型民营上市公司股票的整体表现。
sh.000940,财富大盘,中证财富大盘指数,2009/9/25,中证指数有限公司,挑选最具创造财富能力的300家A股上市公司作为样本。
sh.000944,内地资源,中证内地资源主题指数,2009/10/28,中证指数有限公司,反映我国证券市场基建主题股票的整体走势。
sh.000950,300基建,沪深300基建主题指数,2009/10/28,中证指数有限公司,反映我国证券市场基建主题股票的整体走势。
sh.000958,创业成长,中证创业成长指数,2010/3/24,中证指数有限公司,由在创业板、中小板以及部分主板市场上市的具备创业和高成长特征的100只股票组成，旨在刻画沪深两市创业和成长特征较为显著的中小型上市股票群体的整体表现。
sh.000959,银河99,中证银河99指数,2010/2/9,中证指数有限公司,从沪深300指数中挑选具有市值代表性和良好成长性的99只股票组成样本股，能够较好地跟踪沪深300指数的表现并实现一定的超额收益。
sh.000961,中证上游,中证上游资源产业指数,2010/4/16,中证指数有限公司,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000963,中证下游,中证下游消费与服务产业指数,2010/4/16,中证指数有限公司,从中证800指数样本股中挑选规模大、具有下游消费与服务产业链特征的公司股票组成样本股。
sh.000964,中证新兴,中证新兴产业指数,2010/4/30,中证指数有限公司,从中证800指数样本股中选择沪深市中规模大、流动性好的100家新兴产业公司组成样本股，以综合反映沪深市中新兴产业公司的整体表现。
sh.000969,300非周,沪深300非周期行业指数,2010/5/28,中证指数有限公司,从沪深300指数样本股中选择具有较强周期性特征行业外的股票组成样本股。
sh.000973,技术领先,中证技术领先指数,2011/1/4,中证指数有限公司,由沪深市场中规模适度、流动性高的200家高新技术类公司构成样本股，以综合反映沪深市场中一大批具有技术领先公司的整体表现。
sh.000974,800金融,中证800金融指数,2013/5/9,中证指数有限公司,以中证800指数为样本空间，选取银行、综合金融和保险行业的股票作为样本股。
sh.000975,钱江30,中证钱江30指数,2014/1/2,中证指数有限公司,结合浙江市场特征，根据总市值、营业收入以及净资产收益率三个指标选取市场影响力强、盈利能力突出的30家公司为指数样本，以反映具备浙江经济代表性的企业的整体表现。
sh.000976,新华金牛,新华金牛50指数,2014/2/18,中证指数有限公司,从沪深A股中选取自由流通市值、营业收入增长率、营业利润增长率综合排名最高的50只沪深A股组成样本股，并以等权重加权。
sh.000977,内地低碳,中证内地低碳经济主题指数,2011/1/21,中证指数有限公司,从沪深A股中挑选日均总市值较高的50只低碳经济主题公司股票组成样本股，反映在中国内地上市的低碳经济类公司股票的整体走势。
sh.000978,医药100,中证医药100指数,2011/3/18,中证指数有限公司,以沪深A股为样本空间，从医药卫生行业和药品零售行业中挑选日均总市值前100位的公司股票组成样本股，反映医药相关行业公司股票的走势。
sh.000979,大宗商品,中证大宗商品股票指数,2011/8/22,中证指数有限公司,以中证800指数为样本空间，挑选综合性石油与天然气企业、石油与天然气的炼制和营销等行业中市值规模大、流动性好的100家公司股票组成样本股。
sh.000983,智能资产,中国智能资产指数,2011/6/17,中证指数有限公司,以沪深两市全部A股(非ST、*ST)作为样本空间，反映上市公司中智能资产价值较高上市公司群体的整体表现。
sh.000996,领先行业,中证领先行业指数,2011/8/2,中证指数有限公司,根据投资属性将全部A股分为若干个行业大类，采用定量与定性相结合的方法，每次从中选取10个行业作为指数编制的入选行业，进而根据成长性、估值水平、盈利能力从中选取150只股票构成指数样本股。
sh.000997,大消费,中证大消费360指数,2011/11/11,中证指数有限公司,反映A股市场中消费类上市公司的整体表现。
sh.000998,中证TMT,中证TMT产业主题指数,2011/11/8,中证指数有限公司,从电讯业务、信息技术、媒体、消费电子产品等行业与TMT产业相关的股票中挑选规模和流动性较好的100只公司股票组成样本股，反映A股上市公司中数字新媒体相关产业公司股票的走势。
sz.399013,深市精选,深市精选指数,2014/5/30,深圳证券交易所,选取深市主板与中小板符合透明度、市值、流动性、营业收入及净利润等指标要求的A股公司组成样本股。
sz.399319,资源优势,国证资源优势,2005/1/4,深圳证券交易所,第一只非传统划分标准的行业指数，选取100家从属于国内具有绝对资源优势的行业、具备稀缺自然资源或自然垄断优势的公司或是其他具备稀缺自然资源或自然垄断优势的公司构成成份股。
sz.399320,国证服务,国证服务指数,2005/1/4,深圳证券交易所,属于巨潮内需主题系列指数，由深沪两市A股中100只公共服务类股票构成。
sz.399321,国证红利,国证红利指数,2005/1/4,深圳证券交易所,选取正常交易、具有稳定的分红历史、分红具备一定的价值并且其股票具有一定流动性保证的50家上市公司股票作为样本股，为投资者提供长期稳定回报的股票群体整体状况的指标。
sz.399322,国证治理,国证治理指数,2005/12/12,深圳证券交易所,选取公司治理结构有效，经营业绩良好的100家上市公司作为指数成份股，反映治理结构被市场认可的上市公司整体走势。
sz.399324,深证红利,深红利,2006/1/24,深圳证券交易所,选取深证市场能给投资者提供长期稳定回报的40只股票作为指数成分股。
sz.399326,成长40,成长40P,2006/1/24,深圳证券交易所,选取深证市场具有良好成长性和行业代表性的40只股票作为指数成分股。
sz.399328,深证治理,深治理P,2006/1/24,深圳证券交易所,选取深证市场公司治理结构有效、经营业绩达到一定标准的40 只股票作为指数成分股。
sz.399332,深证创新,深证创新价格指数,2006/2/27,深圳证券交易所,以在深交所上市交易的符合自主创新原则、公司最近一年无重大违规、财务报告无重大问题、考察期内股价无异常波动的A股（非ST、*ST股票）作为样本空间，选取平均流通市值占市场比重和平均成交金额占市场比重综合排名前40名的股票组成样本股。
sz.399335,深证央企,深证央企P,2009/8/3,深圳证券交易所,深证央企指数包括全收益指数和纯价格指数，反映深圳证券市场上中央企业控股上市公司股票价格变动的趋势。
sz.399337,深证民营,深证民营P,2009/8/3,深圳证券交易所,深证民营指数包括全收益指数和纯价格指数，反映深圳证券市场上民营企业股票价格变动的趋势。
sz.399339,深证科技,深证科技P,2009/8/3,深圳证券交易所,深证科技指数包括全收益指数和纯价格指数，反映深圳证券市场上科技型企业股票价格变动的趋势。
sz.399341,深证责任,深证责任P,2009/8/3,深圳证券交易所,对满足入围标准的A股股票，在公司为股东创造的净利润的基础上，增加公司年内为国家创造的税收、向员工支付的工资、向银行等债权人给付的借款利息等，计算四项总和与公司净资产比值，最后将计算结果从高到低排序，并综合考虑企业在和谐社区建设以及公益事业中的贡献，最终选取100只股票，构成指数成份股。
sz.399350,皖江30,国元皖江30,2012/12/18,深圳证券交易所,由在深交所和上交所上市的 30只A股组成样本空间，反映安徽省上市公司的整体表现，凸显皖江城市带承接产业转移示范区的经济特征。
sz.399351,深报指数,深圳报业指数,2004/9/1,深圳证券交易所,选取深圳本地股票作为样本，旨在反映深圳本地股票的走势。
sz.399352,深报综指,深圳报业综指,2005/2/3,深圳证券交易所,利用深圳本地所有A股股票(ST股票除外)作为样本，反映深圳本地A股总体走势。
sz.399353,国证物流,国证物流指数,2005/3/1,深圳证券交易所,以在深交所和上交所上市且满足入围标准的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前40名的股票构成样本股。
sz.399355,长三角,CBN长江三角洲指数,2007/7/2,深圳证券交易所,以注册地在长三角地区的40家上市公司为样本股，旨在反映长三角经济圈上市公司的股票价格变动的总体趋势。
sz.399356,珠三角,CBN珠江三角洲指数,2007/7/2,深圳证券交易所,以公司注册地为广州、深圳、珠海、佛山、江门、中山、东莞、惠州和肇庆市的所有A股上市公司为备选样本，挑选40家有代表性的A股公司编制而成，旨在体现该地区经济结构与发展模式的特色。
sz.399357,环渤海,CBN环渤海地区指数,2007/7/2,深圳证券交易所,以公司注册地为辽宁、河北、山东3省和北京、天津2市的所有A股上市公司为备选样本，挑选40家有代表性的A股公司编制而成的。
sz.399358,泰达指数,泰达环保指数,2008/1/2,深圳证券交易所,从中国A股市场近2000家上市公司中选取为环保做出最多贡献、在经营过程中对环境保护产生正面影响的40家上市公司组成样本股。
sz.399359,国证基建,国证基建指数,2009/8/3,深圳证券交易所,以在深交所和上交所上市且满足入围标准的符合基建主题的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399360,国证装备,国证装备指数,2010/4/16,深圳证券交易所,以在深交所和上交所上市且满足入围标准的分属于装备相关行业的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399361,国证商业,国证商业连锁,2009/8/3,深圳证券交易所,以在深交所和上交所上市且满足入围标准的分属于商业连锁和零售行业的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前40名的股票构成样本股。
sz.399362,国证民营,国证民营指数,2009/8/3,深圳证券交易所,以在深交所和上交所上市且满足入围标准的民营企业A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前180名的股票构成样本股。
sz.399363,计算机指,国证计算机指,2009/8/3,深圳证券交易所,以在深交所和上交所上市且满足入围标准的分属于信息技术行业的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前100名的股票构成样本股。
sz.399364,中金消费,国证-中金消费100指数,2009/8/3,深圳证券交易所,属于巨潮内需主题系列指数，成份股由中国龙头消费相关主题板块收益行业中的100家A股公司组成，反映A股市场消费行业中股票价格的变化趋势。
sz.399365,国证农业,国证农业指数,2009/11/4,深圳证券交易所,以在深交所和上交所上市且满足入围标准的农业综合企业相关行业的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399367,巨潮地产,巨潮地产指数,2009/11/4,深圳证券交易所,以在深交所和上交所上市且满足入围标准的房地产企业A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399368,国证军工,国证航天军工指数,2009/11/4,深圳证券交易所,以在深交所和上交所上市且满足入围标准的天军工产品相关行业的A股为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名前50名的股票构成样本股。
sz.399369,CBN-兴全,国证-CBN-兴业全球基金社会责任指数,2009/11/4,深圳证券交易所,反映深沪证券市场上在社会责任履行方面表现良好的公司股票价格变动的趋势。
sz.399378,南方低碳,南方低碳指数,2010/9/20,深圳证券交易所,反映中国资本市场上经营业务具有低碳排放特征，或以提供降低碳排放设备和服务为主营业务的上市公司的价格变动总体趋势。
sz.399391,投资时钟,国证投资时钟,2012/3/26,深圳证券交易所,在历史相同类型经济周期阶段中，筛选月均收益率较高的多个行业，并根据收益率的高低为所选行业分配市值权重。根据行业的市值权重，优先入选自由流通市值较大的股票直至达到预设权重，并根据样本空间各行业实际自由流通市值的大小进行适当调整，得到100只样本股和相应的权重调整因子。
sz.399392,国证新兴,国证新兴产业,2012/3/28,深圳证券交易所,从满足入围标准的股票中选取考察期内主营业务收入增长指标和市值指标综合排名前100名的股票构成指数成份股。
sz.399393,国证地产,国证地产指数,2012/8/20,深圳证券交易所,从满足入围标准的股票中选取平均流通市值和平均成交金额占市场比重综合选取前50名股票作为样本股，数量不足则按实际数量选入。
sz.399394,国证医药,国证医药指数,2012/10/29,深圳证券交易所,从满足入围标准的股票中选取归属于医药卫生行业、平均流通市值和平均成交金额占市场比重综合排名前80名股票作为样本股，数量不足则按实际数量选入。
sz.399395,国证有色,国证有色指数,2012/10/29,深圳证券交易所,选取归属于有色金属行业的规模和流动性突出的50只股票作为样本股，反映了沪深两市有色金属行业上市公司的整体收益表现。
sz.399396,国证食品,国证食品指数,2012/10/29,深圳证券交易所,选取归属于食品饮料行业的规模和流动性突出的50只股票作为样本股，反映了沪深两市食品饮料行业上市公司的整体收益表现。
sz.399397,OCT文化,华侨城文化,2012/11/9,深圳证券交易所,从满足入围标准的股票中选取平均流通市值和平均成交金额占市场比重综合排名前50只股票作为样本股，反映沪深两市文化产业上市公司的整体价格走势。
sz.399398,绩效指数,国证绩效指数,2012/11/9,深圳证券交易所,对入围的股票，选取绩效评分排名前100名的股票构成指数样本股，并依据巨潮行业分类，限制属于同一个四级行业的股票入选不超过4只。该指数反映A股市场经营绩效良好的上市公司的整体表现。
sz.399399,中经GDP,中经GDP指数,2012/11/23,深圳证券交易所,由在深交所和上交所上市的300只A股组成指数样本股，旨在反映国民经济结构变化和行业轮动特点。
sz.399402,周期100,国证周期100,2013/10/28,深圳证券交易所,在周期性行业范围内使用过去半年的日均成交额和日均流通市值两个指标进行综合评分，挑选出代表性较强、流动性较好的100只股票构成指数的样本股，旨在反映A股市场具有周期性行业特征公司的整体表现。
sz.399403,防御100,国证防御100,2013/10/28,深圳证券交易所,在防御性行业范围内使用过去半年的日均成交额和日均流通市值两个指标进行综合评分，挑选出代表性较强、流动性较好的100只股票构成指数的样本股，旨在反映A股市场具有防御性行业特征公司的整体表现。
sz.399410,苏州率先,苏州率先指数,2013/12/12,深圳证券交易所,通过对市值代表性、股票流动性等指标的考察，精选30只注册地为苏州的A股作为样本股，旨在反映苏州地区上市公司的股票运行情况。
sz.399412,国证新能,国证新能源指数,2014/5/16,深圳证券交易所,从属于新能源或新能源汽车产业，且新能源收入占主营业务收入20%以上的上市公司中，选取市值和流动性综合排名靠前的70只股票作为样本股，反映了沪深两市新能源和新能源汽车产业的整体收益表现。
