指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000904,中证200,中证中盘200指数,2007/1/15,中证指数有限公司,以沪深300指数成份股中非中证100指数样本股的200家公司股票构成样本股，反映市场上不同规模特征股票的整体表现。
sh.000905,中证500,中证小盘500指数,2007/1/15,中证指数有限公司,样本空间内股票剔除沪深300指数样本股及最近一年日均总市值排名前300名的股票，再剔除最近一年(新股为上市以来)日均成交金额排名后20%的股票，从剩余股票中选取日均总市值排名前500名的股票作为样本股。
sh.000906,中证800,中证800指数,2007/1/15,中证指数有限公司,由中证500和沪深300指数样本股一起构成指数样本股。
sh.000999,两岸三地,中证两岸三地500指数,2010/1/18,中证指数有限公司,由500只样本股组成，分别为沪深300指数的300只样本，中证香港100指数的100只样本，以及从台湾市场选择规模最大的100只证券作为样本，能全面刻画大中华地区股票的整体表现。
sz.399001,深证成指,深证成份指数(价格),1995/1/23,深圳证券交易所,选择在深交所上市交易且满足入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前500名的A股构成初始样本股。
sz.399002,深成指R,深证成份指数(收益),1995/1/23,深圳证券交易所,选择在深交所上市交易且满足入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前500名的A股构成初始样本股。
sz.399003,成份Ｂ指,深证成份B股指数,1995/1/23,深圳证券交易所,选择在深交所上市交易且满足入围标准的B股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前10名的B股构成初始样本股。
sz.399004,深证100R,深证100指数(收益),2003/1/2,深圳证券交易所,选择在深交所上市且满入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均流通市值的比重和平均成交金额的比重综合排名在前100名的股票构成初始成份股。
sz.399005,中小板指,中小板指数(价格),2006/1/24,深圳证券交易所,以中小企业板正常交易的股票为样本股。
sz.399006,创业板指,创业板指数P,2010/6/1,深圳证券交易所,从创业板股票中选取100只最具代表性的100只股票组成样本股，反映创业板市场层次的运行情况。
sz.399007,深证300,深证300指数(价格),2009/11/4,深圳证券交易所,选择在深交所上市且满入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前300名的股票构成初始成份股。
sz.399008,中小300,中小板300P,2010/3/22,深圳证券交易所,中小板300指数包括价格指数(中小板300P)和全收益指数(中小板300R)，由300家具有代表性的中小板公司组成。
sz.399009,深证200,深证200指数,2011/9/1,深圳证券交易所,选择在深交所上市且满入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在第101至300名的股票构成初始成份股。
sz.399010,深证700,深证700指数,2011/9/1,深圳证券交易所,选择在深交所上市且满入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在第701至1000名的股票构成初始成份股。
sz.399011,深证1000,深证1000指数,2011/9/1,深圳证券交易所,选择在深交所上市且满入围标准的A股作为样本空间，选取一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重综合排名在前1000名的股票构成初始成份股。
sz.399012,创业300,创业板300,2013/1/7,深圳证券交易所,选择在深交所创业板上市且有一定代表性的股票作为样本空间，选取考察期内平均流通市值及平均成交金额所占市场比重综合排名前300名股票构成样本股。
sz.399015,中小创新,中小创新指数,2015/3/24,深圳证券交易所,选取深证1000指数样本股中，剔除同期深证成指样本股之后的500只股票组成样本股。
sz.399300,沪深300,沪深300指数,2005/4/8,中证指数有限公司,对样本空间股票剔除最近一年(新股为上市以来)日均成交金额排名后50%的股票，然后对剩余股票选取日均总市值排名在前300名的股票作为样本股，以反映中国证券市场股票价格变动的概貌和运行状况。
sz.399303,国证2000,国证2000指数,2014/3/28,深圳证券交易所,以在上交所和深交所上市且满足入围标准的A股为样本空间，根据一段时期（前6个月）平均总市值的比重、平均自由流通市值的比重和平均成交金额的比重进行综合排名，剔除国证1000指数样本股后，按照缓冲区技术选取排名靠前的2000只股票构成样本股。
sz.399310,国证50,国证50指数,2005/9/5,深圳证券交易所,是以国民经济核心上市公司为主体的市场品牌指数，通过深沪证券市场50家核心上市公司的资本市场表现反映国民经济总体运行态势。
sz.399311,国证1000,国证1000指数,2005/2/3,深圳证券交易所,按照流通市值和成交金额的大小选取沪深两市中1000只股票构成样本股，通过占沪深两市95%以上市值比例成份股的二级市场表现，准确描述中国股票市场的整体走势。
sz.399312,国证300,国证300指数,2005/2/3,深圳证券交易所,选取深沪两市300只股票作为成份股，较准确反映市场整体走势。
sz.399313,综企指巨潮100,巨潮100指数,2005/2/3,深圳证券交易所,根据流通市值和成交金额两项重要指标进行综合排名，选取深沪两市最有影响力的100只股票作为成份股。
sz.399314,巨潮大盘,巨潮大盘指数,2005/2/3,深圳证券交易所,按照流通市值由大到小的顺序，从巨潮1000指数成份股中选取200只股票构成，分别代表沪深两市不同规模板块的运行情况。
sz.399315,巨潮中盘,巨潮中盘指数,2005/2/3,深圳证券交易所,按照流通市值由大到小的顺序，从巨潮1000指数成份股中选取300只股票构成，分别代表沪深两市不同规模板块的运行情况。
sz.399316,巨潮小盘,巨潮小盘指数,2005/2/3,深圳证券交易所,按照流通市值由大到小的顺序，从巨潮1000指数成份股中选取500只股票构成，分别代表沪深两市不同规模板块的运行情况。
sz.399330,深证100,深证100指数(价格),2006/1/24,深圳证券交易所,选择在深交所上市的符合条件的A股股票，选取一段时期平均流通市值的比重和平均成交金额的比重综合排名在前100名的股票组成样本股。
sz.399333,中小板R,中小板指数(收益),2006/12/27,深圳证券交易所,指数样本与中小板100P相同
sz.399344,深证300R,批发零售指数,2013/3/4,深圳证券交易所,以在深交所主板、中小板、创业板上市的分属批发零售业的非 ST、*ST 的A股作为样本股。
sz.399400,大中盘,巨潮大中盘指数,2013/3/20,深圳证券交易所,巨潮大、中盘指数入围股票作为成份股构成大中盘指数，旨在反映沪深A股不同规模上市公司的整体表现。
sz.399401,中小盘,巨潮中小盘指数,2013/3/20/td>,深圳证券交易所,将巨潮中、小盘指数入围股票作为成份股构成中小盘指数，旨在反映沪深A股不同规模上市公司的整体表现。
sz.399606,创业板R,创业板指数R,2010/6/1,深圳证券交易所,从创业板股票中选取100只组成样本股，反映创业板市场层次的运行情况。
sz.399611,中创100R,中小创业100R,2011/2/28,深圳证券交易所,选取中小板和创业板中代表性较强、流动性较好的100家公司组成样本股，以反映中小企业板和创业板重点企业的运行状况。
sz.399612,中创100,中小创业100P,2011/2/28,深圳证券交易所,选取中小板和创业板中代表性较强、流动性较好的100家公司组成样本股，以反映中小企业板和创业板重点企业的运行状况。
sz.399623,中小基础,中小板基础市场指数,2011/7/25,深圳证券交易所,选择中小企业板市场市值最大的前85%的股票组成样本股。
sz.399624,中创400,中创400指数,2011/8/15,深圳证券交易所,由中创500指数剔除同期中创100指数成份股后余下的400只股票组成，旨在反映中小板和创业板中正处于高成长阶段的企业的整体状况。
sz.399625,中创500,中创500指数,2011/8/15,深圳证券交易所,在中小板和创业板中选取规模和流动性综合排名前500家公司组成样本股，旨在反映中小板和创业板公司整体的走势情况。
sz.399640,创业基础,创业板基础市场指数,2012/1/16,深圳证券交易所,以覆盖创业板市场85%流通市值为目标编制而成，旨在反映创业板上市证券价格的综合变动情况以及市场总体走势。
sz.399903,中证100,中证100指数,2006/5/29,中证指数有限公司,从沪深300指数样本股中挑选规模最大的100只股票组成样本股，以综合反映沪深证券市场中最具市场影响力的一批大市值公司的整体状况。
sz.399904,中证 200,中证中盘200指数,2007/1/15,中证指数有限公司,选取沪深300指数成份股中非中证100指数样本股的200家公司股票构成指数样本股。
sz.399905,中证 500,中证小盘500指数,2007/1/15,中证指数有限公司,样本空间内股票依次剔除沪深300指数样本股及最近一年日均总市值排名前300名的股票、以及最近一年(新股为上市以来)日均成交金额排名后20%的股票，从剩余股票中选取日均总市值排名前500名的股票作为样本股。
sz.399907,中证 700,中证中小盘700指数,2007/1/15,中证指数有限公司,中证500和中证200样本股一起构成中证700指数样本股。
sz.399980,中证超大,中证超级大盘指数,2011/5/10,中证指数有限公司,挑选在沪深两家交易所上市的规模大、流动性好的50只超级大盘股票组成样本股。
