指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sz.399404,大盘低波,巨潮大盘低波,2013/12/5,深圳证券交易所,以巨潮大盘指数为样本空间，选择最近一年日收益率的波动率最小的50只股票作为样本股。
sz.399405,大盘高贝,巨潮大盘高贝,2013/12/5,深圳证券交易所,以巨潮大盘指数全部样本股为样本空间，选择最近一年贝塔值最大的前50只股票作为样本股。
sz.399406,中盘低波,巨潮中盘低波,2013/12/5,深圳证券交易所,以巨潮中盘指数为样本空间，选择最近一年日收益率的波动率最小的100只股票作为样本股。
sz.399407,中盘高贝,巨潮中盘高贝,2013/12/5,深圳证券交易所,以巨潮中盘指数全部样本股为样本空间，选择最近一年贝塔值最大的前100只股票作为样本股。
sz.399408,小盘低波,巨潮小盘低波,2013/12/5,深圳证券交易所,以巨潮小盘指数为样本空间，选择最近一年日收益率的波动率最小的150只股票作为样本股。
sz.399409,小盘高贝,巨潮小盘高贝,2013/12/5,深圳证券交易所,以巨潮中盘指数全部样本股为样本空间，选择最近一年贝塔值最大的前100只股票作为样本股。
sz.399411,红利100,国证红利加权100指数,2014/4/10,深圳证券交易所,以沪深市场最近5年连续实施现金分红的上市公司为样本空间，选取股息率和上市公司市值规模综合排名靠前的100只股票构成指数样本股。
sz.399427,专利领先,专利领先指数,2015/2/17,深圳证券交易所,以国证 A 指为样本空间，根据样本空间内上市公司发明公开、发明授权、实用新型及外观等专利总量领先指标及年度增量领先指标等专利领先信息以及财务指标构建量化模型，选取上市公司专利领先得分排名靠前的 100 只股票构成样本股。
sz.399632,深100EW,深证100等权重指数,2011/10/28,深圳证券交易所,从入围个股中选取考察期（一般为前6个月）内平均流通市值及平均成交金额所占市场比重综合排名前100名股票构成指数成份股。
sz.399633,深300EW,深证300等权重指数,2011/10/28,深圳证券交易所,从入围个股中选取考察期（一般为前6个月）内平均流通市值及平均成交金额所占市场比重综合排名前300名股票构成指数成份股。
sz.399634,中小板EW,中小板等权重指数,2011/10/28,深圳证券交易所,以中小板指数为母指数，从入围个股中选取考察期（一般为前6个月）内平均流通市值及平均成交金额所占市场比重综合排名前100名股票构成指数成份股。
sz.399635,创业板EW,创业板等权重指数,2011/10/28,深圳证券交易所,以创业板指数为母指数，从入围个股中选取考察期（一般为前6个月）内平均流通市值及平均成交金额所占市场比重综合排名前100名股票构成指数成份股。
sz.399645,100低波,深证100低波,2012/6/12,深圳证券交易所,对样本空间的股票，选取最近一年日收益率的波动率排名前50的股票构成指数样本股。旨在防御市场泡沫，获取相对于深证100指数的低风险长期超额收益。
sz.399655,深证绩效,深证绩效指数,2012/11/19,深圳证券交易所,从入围股票中选取绩效评分排名前100名的股票构成指数样本股，并依据巨潮行业分类，限制属于同一个四级行业的股票入选不超过4只，旨在反映深圳市场经营绩效良好的上市公司的整体表现。
sz.399656,100绩效,深证100绩效加权指数,2012/11/19,深圳证券交易所,样本股与对应母指数保持一致，旨在反映深圳市场重点指数在绩效加权下的收益表现。
sz.399657,300绩效,深证300绩效加权指数,2012/11/19,深圳证券交易所,样本股与对应母指数保持一致，旨在反映深圳市场重点指数在绩效加权下的收益表现。
sz.399658,中小绩效,中小板绩效加权指数,2012/11/19,深圳证券交易所,样本股与对应母指数保持一致，旨在反映深圳市场重点指数在绩效加权下的收益表现。
sz.399659,深成指EW,深证成份等权,2012/11/23,深圳证券交易所,样本股与对应母指数保持一致，旨在反映深圳市场重点指数在等权重维度下的收益表现。
sz.399660,中创EW,中创100等权,2012/11/23,深圳证券交易所,样本股与对应母指数保持一致，旨在反映深圳市场重点指数在等权重维度下的收益表现。
sz.399661,深证低波,深证300低波,2012/12/20,深圳证券交易所,从深证300指数样本股中选取最近一年日收益率的波动率（标准差）排名前100的股票作为样本股，旨在表征深市不同风险属性的股票价格变化。
sz.399662,深证高贝,深证300高贝,2012/12/20,深圳证券交易所,从深证300指数样本股中选取最近一年的贝塔值降序排名前100的股票作为样本股，旨在表征深市不同风险属性的股票价格变化。
sz.399663,中小低波,中小300低波,2012/12/20,深圳证券交易所,从中小板300指数样本股中选取最近一年日收益率的波动率（标准差）升序排名前100的股票作为样本股，旨在表征深市不同风险属性的股票价格变化。
sz.399664,中小高贝,中小300高贝,2012/12/20,深圳证券交易所,从中小板300指数样本股中选取最近一年日收益率的贝塔值降序排名前100的股票作为样本股，旨在表征深市不同风险属性的股票价格变化。
sz.399665,中创低波,中创500低波,2012/12/20,深圳证券交易所,从中创500指数样本股中选取最近一年日收益率的波动率（标准差）升序排名前200的股票作为样本股，旨在表征深市不同风险属性的股票价格变化。
sz.399666,中创高贝,中创500高贝,2012/12/20,深圳证券交易所,从中创500指数样本股中选取最近一年的贝塔值降序排名前200的股票作为样本股，旨在表征深市不同风险属性的股票价格变化
sz.399672,深红利50,深证红利加权50指数,2014/4/10,深圳证券交易所,以深圳市场最近5年连续实施现金分红的上市公司为样本空间，选取股息率和上市公司市值规模综合排名靠前的50只股票构成样本股，反映了深圳A股市场中具备连续现金分红能力的上市公司整体运行情况。
sz.399673,创业板50,创业板50指数,2014/6/18,深圳证券交易所,从创业板指数的100只样本股中，选取考察期内流动性指标最优的50只股票组成样本股。
sz.399676,深医药EW,深A医药等权,2015/6/8,深圳证券交易所,
sz.399677,深互联EW,深A互联等权,2015/6/8,深圳证券交易所,
sz.399701,深证F60,深证基本面60指数,2010/5/10,深圳证券交易所,以深市A股为样本空间，挑选基本面价值最大的60家深市A股上市公司作为样本，且样本股的权重配置与其基本面价值相适应。
sz.399702,深证F120,深证基本面120指数,2010/5/10,深圳证券交易所,以深市A股为样本空间，挑选基本面价值最大的120家深市A股上市公司作为样本，且样本股的权重配置与其基本面价值相适应。
sz.399703,深证F200,深证基本面200指数,2010/5/10,深圳证券交易所,以深市A股为样本空间，挑选基本面价值最大的200家深市A股上市公司作为样本，且样本股的权重配置与其基本面价值相适应。
sz.399925,基本面50,中证锐联基本面50指数,2009/2/26,中证指数有限公司,挑选以 4 个基本面指标（营业收入、现金流、净资产、分红）来衡量的经济规模最大的 50 家 A 股上市公司作为样本，且样本个股的权重配置与其经济规模相适应。
sz.399982,500等权,中证500等权重指数,2011/6/13,中证指数有限公司,与中证500指数拥有相同的成份股，采用等权重加权。
